"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.259277260E-1,-8.371888399E-1,-2.371885478E-1,1.027478027E1,1.031155920E1
7.283750700E-1,-8.371888399E-1,-2.659024298E-1,1.031306553E1,1.035040627E1
7.308214760E-1,-8.901300430E-1,-3.041875660E-1,1.033220863E1,1.037494081E1
7.332671530E-1,-8.829515576E-1,-3.472583890E-1,1.035852909E1,1.040189006E1
7.357137160E-1,-8.901300430E-1,-3.616153300E-1,1.036092186E1,1.040537356E1
7.381609550E-1,-8.877372146E-1,-3.975076675E-1,1.037288570E1,1.041838987E1
7.406074140E-1,-8.901300430E-1,-4.405784607E-1,1.036092186E1,1.040841691E1
7.430530910E-1,-8.997012973E-1,-4.668995142E-1,1.033699417E1,1.038657336E1
7.454995490E-1,-8.853443861E-1,-5.150550604E-1,1.030827999E1,1.035904208E1
7.479468930E-1,-8.781659007E-1,-5.222335458E-1,1.029153061E1,1.034212287E1
7.503932990E-1,-8.252246976E-1,-5.294120312E-1,1.026760197E1,1.031430672E1
7.528389760E-1,-7.941179872E-1,-5.940182209E-1,1.023649502E1,1.028442080E1
7.552854350E-1,-7.582256794E-1,-6.131607890E-1,1.020060253E1,1.024710517E1
